savings,emergency_fund,existing_debt,debt_amount,self_discipline,study_schedule,academic_warnings,finance_apps,news,finance_course,gpa,major,income,spending,smartphone,app_type,finance_app_name,user_email,user_name,submission_time
10000000.0,yes,no,0,4.0,yes,yes,yes,11.0,yes,3.8,Accounting,50000000.0,10000000.0,5.0,social_media,binance,dddddd@gmail.com,tung,2025-06-05 15:29:21
10000000.0,yes,no,0,4.0,yes,yes,yes,11.0,yes,3.8,Accounting,50000000.0,10000000.0,5.0,social_media,binance,dddddd@gmail.com,tung,2025-06-05 15:33:00
100000.0,yes,yes,1000,4.0,yes,yes,yes,11.0,yes,3.8,Accounting,10000000.0,100000.0,3.0,social_media,binance,dddddd@gmail.com,tung,2025-06-05 15:35:17
100000.0,yes,yes,1000,4.0,yes,yes,yes,11.0,yes,3.8,Accounting,10000000.0,100000.0,3.0,social_media,binance,dddddd@gmail.com,tung,2025-06-05 15:37:30
100000.0,yes,yes,1000,4.0,yes,yes,yes,11.0,yes,3.8,Accounting,10000000.0,100000.0,3.0,social_media,binance,dddddd@gmail.com,tung,2025-06-05 15:53:07
100000.0,yes,yes,1000,4.0,yes,yes,yes,11.0,yes,3.8,Accounting,10000000.0,100000.0,3.0,social_media,binance,dddddd@gmail.com,tung,2025-06-05 15:53:10
1000000.0,yes,no,0,5.0,yes,yes,yes,11.0,yes,3.8,Accounting,100000000.0,1000000.0,3.0,social_media,binance,dddddd@gmail.com,tung,2025-06-05 15:53:38
1000000.0,yes,no,0,5.0,yes,yes,yes,11.0,yes,3.8,Accounting,100000000.0,1000000.0,3.0,social_media,binance,dddddd@gmail.com,tung,2025-06-05 15:54:52
1000000.0,yes,no,0,5.0,yes,yes,yes,11.0,yes,3.8,Accounting,100000000.0,1000000.0,3.0,social_media,binance,dddddd@gmail.com,tung,2025-06-05 15:54:58
1000000.0,yes,no,0,5.0,yes,yes,yes,11.0,yes,3.8,Accounting,100000000.0,1000000.0,3.0,social_media,binance,dddddd@gmail.com,tung,2025-06-05 15:55:33
10000000.0,yes,no,0,5.0,yes,yes,yes,11.0,yes,3.8,Accounting,100000000.0,10000000.0,3.0,social_media,binance,dddddd@gmail.com,tung,2025-06-05 15:56:21
10000000.0,yes,no,0,5.0,yes,yes,yes,11.0,yes,3.8,Accounting,100000000.0,10000000.0,3.0,social_media,binance,dddddd@gmail.com,tung,2025-06-05 15:56:52
10000000.0,yes,no,0,5.0,yes,yes,yes,11.0,yes,3.8,Accounting,100000000.0,10000000.0,3.0,social_media,binance,dddddd@gmail.com,tung,2025-06-05 15:59:41
10000000.0,yes,no,0,5.0,yes,yes,yes,11.0,yes,3.8,Accounting,100000000.0,10000000.0,3.0,social_media,binance,dddddd@gmail.com,tung,2025-06-05 16:03:19
10000000.0,yes,no,0,5.0,yes,yes,yes,11.0,yes,3.8,Accounting,100000000.0,10000000.0,3.0,social_media,binance,dddddd@gmail.com,tung,2025-06-05 16:03:25
10000000.0,yes,no,0,5.0,yes,yes,yes,11.0,yes,3.8,Accounting,100000000.0,10000000.0,3.0,social_media,binance,dddddd@gmail.com,tung,2025-06-05 16:05:25
10000000.0,yes,no,0,5.0,yes,yes,yes,11.0,yes,3.8,Accounting,100000000.0,10000000.0,3.0,social_media,binance,dddddd@gmail.com,tung,2025-06-05 16:28:40
10000000.0,yes,yes,1000,3.0,yes,yes,yes,11.0,yes,3.5,Accounting,100000000.0,10000000.0,4.0,social_media,binance,dddddd@gmail.com,tung,2025-06-05 16:29:24
10000000.0,yes,no,0,5.0,yes,yes,yes,11.0,yes,3.8,Accounting,100000000.0,10000000.0,4.0,social_media,binance,dddddd@gmail.com,tung,2025-06-05 16:36:33
10000000.0,yes,yes,1000,4.0,yes,yes,yes,11.0,yes,3.7,Accounting,100000000.0,10000000.0,3.0,social_media,binance,dddddd@gmail.com,tung,2025-06-05 16:45:19
10000000.0,yes,yes,1000,4.0,yes,yes,yes,11.0,yes,3.7,Accounting,100000000.0,10000000.0,3.0,social_media,binance,dddddd@gmail.com,tung,2025-06-05 16:59:30
